id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_gizi_buruk,jumlah_balita,satuan,tahun
53,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BALITA PENDEK,853,ORANG,2019
54,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BALITA KURUS,39,ORANG,2019
55,32,JAWA BARAT,3271,KOTA BOGOR,BALITA GIZI KURANG,3859,ORANG,2019
56,32,JAWA BARAT,3271,KOTA BOGOR,BALITA PENDEK,3192,ORANG,2019
57,32,JAWA BARAT,3271,KOTA BOGOR,BALITA KURUS,2047,ORANG,2019
58,32,JAWA BARAT,3272,KOTA SUKABUMI,BALITA GIZI KURANG,1333,ORANG,2019
59,32,JAWA BARAT,3272,KOTA SUKABUMI,BALITA PENDEK,1683,ORANG,2019
60,32,JAWA BARAT,3272,KOTA SUKABUMI,BALITA KURUS,634,ORANG,2019
61,32,JAWA BARAT,3273,KOTA BANDUNG,BALITA GIZI KURANG,7959,ORANG,2019
62,32,JAWA BARAT,3273,KOTA BANDUNG,BALITA PENDEK,8121,ORANG,2019
63,32,JAWA BARAT,3273,KOTA BANDUNG,BALITA KURUS,3999,ORANG,2019
64,32,JAWA BARAT,3274,KOTA CIREBON,BALITA GIZI KURANG,2229,ORANG,2019
65,32,JAWA BARAT,3274,KOTA CIREBON,BALITA PENDEK,874,ORANG,2019
66,32,JAWA BARAT,3274,KOTA CIREBON,BALITA KURUS,2472,ORANG,2019
67,32,JAWA BARAT,3275,KOTA BEKASI,BALITA GIZI KURANG,5797,ORANG,2019
68,32,JAWA BARAT,3275,KOTA BEKASI,BALITA PENDEK,8010,ORANG,2019
69,32,JAWA BARAT,3275,KOTA BEKASI,BALITA KURUS,4955,ORANG,2019
70,32,JAWA BARAT,3276,KOTA DEPOK,BALITA GIZI KURANG,5450,ORANG,2019
71,32,JAWA BARAT,3276,KOTA DEPOK,BALITA PENDEK,5241,ORANG,2019
72,32,JAWA BARAT,3276,KOTA DEPOK,BALITA KURUS,3021,ORANG,2019
73,32,JAWA BARAT,3277,KOTA CIMAHI,BALITA GIZI KURANG,2014,ORANG,2019
74,32,JAWA BARAT,3277,KOTA CIMAHI,BALITA PENDEK,3269,ORANG,2019
75,32,JAWA BARAT,3277,KOTA CIMAHI,BALITA KURUS,888,ORANG,2019
76,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BALITA GIZI KURANG,3738,ORANG,2019
77,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BALITA PENDEK,5373,ORANG,2019
78,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BALITA KURUS,1679,ORANG,2019
79,32,JAWA BARAT,3279,KOTA BANJAR,BALITA GIZI KURANG,968,ORANG,2019
80,32,JAWA BARAT,3279,KOTA BANJAR,BALITA PENDEK,962,ORANG,2019
81,32,JAWA BARAT,3279,KOTA BANJAR,BALITA KURUS,523,ORANG,2019
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,BALITA GIZI KURANG,21322,ORANG,2020
83,32,JAWA BARAT,3201,KABUPATEN BOGOR,BALITA PENDEK,40959,ORANG,2020
84,32,JAWA BARAT,3201,KABUPATEN BOGOR,BALITA KURUS,18572,ORANG,2020
85,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BALITA GIZI KURANG,8838,ORANG,2020
86,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BALITA PENDEK,14154,ORANG,2020
87,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BALITA KURUS,6046,ORANG,2020
88,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BALITA GIZI KURANG,9069,ORANG,2020
