id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_gizi_buruk,jumlah_balita,satuan,tahun
266,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BALITA PENDEK,4798,ORANG,2022
267,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BALITA KURUS,5015,ORANG,2022
268,32,JAWA BARAT,3209,KABUPATEN CIREBON,BALITA GIZI KURANG,9577,ORANG,2022
269,32,JAWA BARAT,3209,KABUPATEN CIREBON,BALITA PENDEK,10635,ORANG,2022
270,32,JAWA BARAT,3209,KABUPATEN CIREBON,BALITA KURUS,14631,ORANG,2022
271,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BALITA GIZI KURANG,2628,ORANG,2022
272,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BALITA PENDEK,3063,ORANG,2022
273,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BALITA KURUS,3954,ORANG,2022
274,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BALITA GIZI KURANG,2765,ORANG,2022
275,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BALITA PENDEK,6316,ORANG,2022
276,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BALITA KURUS,6441,ORANG,2022
277,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BALITA GIZI KURANG,6195,ORANG,2022
278,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BALITA PENDEK,3797,ORANG,2022
279,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BALITA KURUS,6388,ORANG,2022
280,32,JAWA BARAT,3213,KABUPATEN SUBANG,BALITA GIZI KURANG,2469,ORANG,2022
281,32,JAWA BARAT,3213,KABUPATEN SUBANG,BALITA PENDEK,1188,ORANG,2022
282,32,JAWA BARAT,3213,KABUPATEN SUBANG,BALITA KURUS,2653,ORANG,2022
283,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BALITA GIZI KURANG,1243,ORANG,2022
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BALITA PENDEK,1438,ORANG,2022
285,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BALITA KURUS,2062,ORANG,2022
286,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BALITA GIZI KURANG,2873,ORANG,2022
287,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BALITA PENDEK,2768,ORANG,2022
288,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BALITA KURUS,4098,ORANG,2022
289,32,JAWA BARAT,3216,KABUPATEN BEKASI,BALITA GIZI KURANG,3706,ORANG,2022
290,32,JAWA BARAT,3216,KABUPATEN BEKASI,BALITA PENDEK,3899,ORANG,2022
291,32,JAWA BARAT,3216,KABUPATEN BEKASI,BALITA KURUS,4957,ORANG,2022
292,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BALITA GIZI KURANG,5266,ORANG,2022
293,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BALITA PENDEK,9304,ORANG,2022
294,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BALITA KURUS,7672,ORANG,2022
295,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BALITA GIZI KURANG,527,ORANG,2022
296,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BALITA PENDEK,519,ORANG,2022
297,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BALITA KURUS,889,ORANG,2022
298,32,JAWA BARAT,3271,KOTA BOGOR,BALITA GIZI KURANG,1769,ORANG,2022
299,32,JAWA BARAT,3271,KOTA BOGOR,BALITA PENDEK,1743,ORANG,2022
300,32,JAWA BARAT,3271,KOTA BOGOR,BALITA KURUS,3039,ORANG,2022
301,32,JAWA BARAT,3272,KOTA SUKABUMI,BALITA GIZI KURANG,990,ORANG,2022
302,32,JAWA BARAT,3272,KOTA SUKABUMI,BALITA PENDEK,806,ORANG,2022
303,32,JAWA BARAT,3272,KOTA SUKABUMI,BALITA KURUS,1542,ORANG,2022
304,32,JAWA BARAT,3273,KOTA BANDUNG,BALITA GIZI KURANG,4622,ORANG,2022
305,32,JAWA BARAT,3273,KOTA BANDUNG,BALITA PENDEK,6614,ORANG,2022
306,32,JAWA BARAT,3273,KOTA BANDUNG,BALITA KURUS,8389,ORANG,2022
307,32,JAWA BARAT,3274,KOTA CIREBON,BALITA GIZI KURANG,1156,ORANG,2022
308,32,JAWA BARAT,3274,KOTA CIREBON,BALITA PENDEK,2381,ORANG,2022
309,32,JAWA BARAT,3274,KOTA CIREBON,BALITA KURUS,2809,ORANG,2022
310,32,JAWA BARAT,3275,KOTA BEKASI,BALITA GIZI KURANG,5145,ORANG,2022
311,32,JAWA BARAT,3275,KOTA BEKASI,BALITA PENDEK,4575,ORANG,2022
312,32,JAWA BARAT,3275,KOTA BEKASI,BALITA KURUS,6374,ORANG,2022
313,32,JAWA BARAT,3276,KOTA DEPOK,BALITA GIZI KURANG,3203,ORANG,2022
314,32,JAWA BARAT,3276,KOTA DEPOK,BALITA PENDEK,3637,ORANG,2022
315,32,JAWA BARAT,3276,KOTA DEPOK,BALITA KURUS,5731,ORANG,2022
316,32,JAWA BARAT,3277,KOTA CIMAHI,BALITA GIZI KURANG,985,ORANG,2022
317,32,JAWA BARAT,3277,KOTA CIMAHI,BALITA PENDEK,3036,ORANG,2022
318,32,JAWA BARAT,3277,KOTA CIMAHI,BALITA KURUS,2365,ORANG,2022
319,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BALITA GIZI KURANG,2457,ORANG,2022
320,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BALITA PENDEK,5633,ORANG,2022
321,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BALITA KURUS,4677,ORANG,2022
322,32,JAWA BARAT,3279,KOTA BANJAR,BALITA GIZI KURANG,810,ORANG,2022
323,32,JAWA BARAT,3279,KOTA BANJAR,BALITA PENDEK,846,ORANG,2022
324,32,JAWA BARAT,3279,KOTA BANJAR,BALITA KURUS,1273,ORANG,2022
